EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,MonthlyIncome,HourlyRate,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,OverTime,BusinessTravel,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,DistanceFromHome,JobInvolvement,StockOptionLevel,PromotionLast5Years,EmploymentType,Attrition
EMP00001,58,Male,Human Resources,HR Manager,2,Medical,Married,5,35,15,7,37,122017,75,4,4,4,1,No,Travel_Rarely,3,6,7,20,3,0,0,Full-Time,No
EMP00002,48,Female,Research & Development,Healthcare Representative,4,Technical Degree,Divorced,4,8,4,5,26,69329,60,2,4,2,4,No,Travel_Frequently,1,3,2,34,2,0,0,Full-Time,No
EMP00003,34,Male,Sales,Sales Executive,2,Technical Degree,Single,3,7,2,2,13,82845,54,2,3,3,4,No,Travel_Rarely,3,5,2,12,2,0,1,Full-Time,No
EMP00004,27,Male,Research & Development,Healthcare Representative,2,Marketing,Married,1,2,0,0,7,39717,53,4,4,2,2,No,Travel_Rarely,4,4,0,16,3,0,1,Full-Time,No
EMP00005,40,Male,Research & Development,Research Director,4,Marketing,Married,4,4,2,0,19,79158,94,3,3,4,3,No,Travel_Rarely,3,3,7,5,4,2,1,Full-Time,No
EMP00006,58,Female,Research & Development,Healthcare Representative,1,Medical,Married,5,17,4,7,37,97219,54,1,1,1,3,Yes,Travel_Rarely,2,3,0,35,3,1,1,Full-Time,No
EMP00007,38,Female,Sales,Sales Representative,3,Other,Single,3,5,1,1,18,76885,57,2,4,3,2,No,Travel_Rarely,1,4,4,27,3,2,0,Full-Time,No
EMP00008,42,Female,Sales,Sales Representative,4,Marketing,Married,4,15,7,3,20,89757,65,3,1,4,4,No,Travel_Frequently,3,0,0,1,3,1,0,Full-Time,No
EMP00009,30,Male,Research & Development,Healthcare Representative,2,Marketing,Married,3,5,3,0,8,74706,35,1,3,3,2,Yes,Travel_Rarely,4,4,4,34,2,1,1,Full-Time,No
EMP00010,30,Male,Sales,Sales Manager,1,Marketing,Single,2,3,1,1,10,50139,95,3,2,4,1,No,Travel_Rarely,4,1,6,32,3,1,1,Full-Time,No
